Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Double-Stranded RNA Binding (GO:0003725),1/65,0.2446334388349638,0.3441935592910538,0,0,3.6488970588235294,5.137626467495332,STAU2
GO_Biological_Process_2023,Wound Healing (GO:0042060),1/80,0.2920806911352911,0.3456500755356502,0,0,2.9538346984363364,3.6353587272888825,PPP3CA
GO_Biological_Process_2023,Regulation Of Protein Localization To Plasma Membrane (GO:1903076),1/80,0.2920806911352911,0.3456500755356502,0,0,2.9538346984363364,3.6353587272888825,STX3
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),1/80,0.2920806911352911,0.3456500755356502,0,0,2.9538346984363364,3.6353587272888825,CENPV
Reactome_2022,DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928,1/81,0.2951369645576914,0.3456690999286112,0,0,2.916764705882353,3.559373891413559,NFKB2
GO_Biological_Process_2023,Histone Modification (GO:0016570),1/81,0.2951369645576914,0.3472450827574574,0,0,2.916764705882353,3.559373891413559,MTA1
GO_Biological_Process_2023,Cytoskeleton-Dependent Cytokinesis (GO:0061640),1/81,0.2951369645576914,0.3472450827574574,0,0,2.916764705882353,3.559373891413559,KIF4A
GO_Biological_Process_2023,Cellular Response To Interleukin-1 (GO:0071347),1/81,0.2951369645576914,0.3472450827574574,0,0,2.916764705882353,3.559373891413559,MAPK3
GO_Biological_Process_2023,Regulation Of Interleukin-8 Production (GO:0032677),1/81,0.2951369645576914,0.3472450827574574,0,0,2.916764705882353,3.559373891413559,CD2
Reactome_2022,"Platelet Activation, Signaling And Aggregation R-HSA-76002",2/254,0.298387742427647,0.3486114218461618,0,0,1.8577097505668936,2.2466426303569875,TLN1;MAPK3
GO_Molecular_Function_2023,GDP Binding (GO:0019003),1/67,0.2511368678628957,0.3492823104759814,0,0,3.537967914438503,4.888612632693461,RAB14
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),1/82,0.2981801959831634,0.35031864065652,0,0,2.8806100217864925,3.485703158576593,CD2
GO_Cellular_Component_2023,Sarcolemma (GO:0042383),1/52,0.2009792794673841,0.3505598686070631,0,0,4.582006920415225,7.352075073767621,DTNBP1
GO_Cellular_Component_2023,Endosome Membrane (GO:0010008),3/361,0.2030786124754525,0.3505598686070631,0,0,1.9744228309887597,3.147550088651434,GGA2;RAB14;TBC1D5
GO_Cellular_Component_2023,Microbody Membrane (GO:0031903),1/53,0.2044240199319846,0.3505598686070631,0,0,4.493665158371041,7.133958175164451,PEX5L
GO_Cellular_Component_2023,Peroxisomal Membrane (GO:0005778),1/53,0.2044240199319846,0.3505598686070631,0,0,4.493665158371041,7.133958175164451,PEX5L
GO_Cellular_Component_2023,Exocytic Vesicle Membrane (GO:0099501),1/53,0.2044240199319846,0.3505598686070631,0,0,4.493665158371041,7.133958175164451,DTNBP1
GO_Cellular_Component_2023,Endocytic Vesicle (GO:0030139),2/196,0.2062507894068334,0.3505598686070631,0,0,2.420225822287678,3.820719568921781,MYO1E;RAB14
GO_Cellular_Component_2023,Synaptic Vesicle Membrane (GO:0030672),1/54,0.2078540813864887,0.3505598686070631,0,0,4.40865704772475,6.92564302052444,DTNBP1
GO_Cellular_Component_2023,Cell-Cell Contact Zone (GO:0044291),1/47,0.1835332098896196,0.3505598686070631,0,0,5.081329923273657,8.61468170774335,AHNAK
GO_Cellular_Component_2023,Golgi-associated Vesicle (GO:0005798),1/47,0.1835332098896196,0.3505598686070631,0,0,5.081329923273657,8.61468170774335,RAB14
GO_Cellular_Component_2023,Microtubule (GO:0005874),2/185,0.189078625711723,0.3505598686070631,0,0,2.567135050741608,4.275800479786785,MTA1;KIF4A
GO_Cellular_Component_2023,U2-type Precatalytic Spliceosome (GO:0071005),1/49,0.190556361783656,0.3505598686070631,0,0,4.869117647058824,8.072058613293224,SRRM2
GO_Cellular_Component_2023,Precatalytic Spliceosome (GO:0071011),1/52,0.2009792794673841,0.3505598686070631,0,0,4.582006920415225,7.352075073767621,SRRM2
KEGG_2021_Human,GnRH secretion,1/64,0.2413608228065245,0.3510702877185812,0,0,3.707002801120448,5.269364635462472,MAPK3
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.2446334388349638,0.352624776699047,0,0,3.6488970588235294,5.137626467495332,JUN
GO_Molecular_Function_2023,RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),2/228,0.2569596317529225,0.3533194936602685,0,0,2.0741677201854194,2.8184543517220715,JUN;MTA1
GO_Cellular_Component_2023,Caveola (GO:0005901),1/62,0.2347734924011352,0.3537253952177104,0,0,3.828929604628737,5.548632425072559,MAPK3
